Mo Bamba,7,1,5.3,0.6,0.1,0.6,4.4,99,108,0.1
Malik Beasley,9,7,3.7,1.6,1.3,0.0,13.0,101,114,0.2
Troy Brown Jr.,59,35,4.3,1.1,0.8,0.2,7.2,112,115,2.1
Max Christie,37,3,2.0,0.5,0.2,0.2,3.5,110,116,0.6
Anthony Davis,40,38,12.3,2.5,1.1,2.1,26.4,123,108,6.3
Wenyen Gabriel,51,2,4.0,0.4,0.3,0.5,5.9,123,114,2.0
Rui Hachimura,17,8,5.2,0.7,0.2,0.4,9.4,109,116,0.5
LeBron James,47,47,8.4,6.9,0.9,0.6,29.5,115,113,5.0
Scotty Pippen Jr.,6,0,0.7,0.3,0.3,0.2,2.3,92,112,0.0
Austin Reaves,47,12,2.9,2.5,0.6,0.4,10.9,124,117,3.0
Davon Reed,4,0,0.8,0.5,0.3,0.0,1.5,140,114,0.1
D'Angelo Russell,4,4,3.5,5.0,0.3,0.0,13.5,116,118,0.2
Dennis Schroder,51,46,2.5,4.6,0.7,0.1,12.5,112,118,2.1
Cole Swider,6,0,1.2,0.7,0.0,0.0,1.5,124,118,0.1
Jarred Vanderbilt,9,7,8.2,2.1,1.4,0.3,8.0,121,109,0.7
Lonnie Walker IV,48,32,2.1,1.3,0.6,0.3,12.8,111,117,1.6
